study.name,unique.id,site,alternative,N,p.value,OR,delta,d
Hauser.1,39,aus,two.sided,89,1.852277147e-06,1.264023927e+01, 2.536885318e+00, 1.398658180e+00
Hauser.1,39,badaniaon,two.sided,34,2.565425113e-03,1.031673768e+01, 2.333767594e+00, 1.286673510e+00
Hauser.1,39,bc,two.sided,73,3.696709466e-07,1.598549315e+01, 2.771681633e+00, 1.528108173e+00
Hauser.1,39,bilgi,two.sided,138,7.410769153e-11,1.236692796e+01, 2.515025809e+00, 1.386606401e+00
Hauser.1,39,brasilia,two.sided,102,3.121617908e-07,9.930879631e+00, 2.295649057e+00, 1.265657659e+00
Hauser.1,39,cas,two.sided,67,4.150189346e-05,            Inf,             Inf,             Inf
Hauser.1,39,castab,two.sided,66,1.088658653e-03,7.256213377e+00, 1.981858119e+00, 1.092655648e+00
Hauser.1,39,doshisha,two.sided,112,6.802473911e-08,1.783845422e+01, 2.881356477e+00, 1.588575084e+00
Hauser.1,39,eindhoven,two.sided,93,3.079634727e-08,1.394502963e+01, 2.635123146e+00, 1.452819533e+00
Hauser.1,39,eindhoventab,two.sided,10,7.936507937e-03,            Inf,             Inf,             Inf
Hauser.1,39,elte,two.sided,91,5.195006875e-12,8.660338337e+01, 4.461338884e+00, 2.459665039e+00
Hauser.1,39,eltetab,two.sided,89,2.723895315e-09,2.148798580e+01, 3.067493979e+00, 1.691198067e+00
Hauser.1,39,fmkbelgrade,two.sided,26,5.290361812e-03,1.921899710e+01, 2.955899222e+00, 1.629672653e+00
Hauser.1,39,grazvienna,two.sided,119,9.194178702e-09,1.218935674e+01, 2.500563173e+00, 1.378632732e+00
Hauser.1,39,hawaiion,two.sided,89,5.711308693e-03,3.480435834e+00, 1.247157525e+00, 6.875939809e-01
Hauser.1,39,henan,two.sided,17,1.470588235e-02,            Inf,             Inf,             Inf
Hauser.1,39,hkust,two.sided,97,3.430952206e-04,6.203518154e+00, 1.825116575e+00, 1.006239505e+00
Hauser.1,39,hkusttab,two.sided,28,4.074074074e-02,            Inf,             Inf,             Inf
Hauser.1,39,hunancomp,two.sided,118,6.095370708e-05,5.834151969e+00, 1.763728920e+00, 9.723947173e-01
Hauser.1,39,ithaca,two.sided,76,8.267845029e-09,2.317697622e+01, 3.143159382e+00, 1.732914590e+00
Hauser.1,39,johannesburg,two.sided,50,2.097581314e-04,1.615214013e+01, 2.782052557e+00, 1.533825963e+00
Hauser.1,39,johannesburgother,two.sided,20,5.477494642e-03,2.732632049e+01, 3.307850358e+00, 1.823713484e+00
Hauser.1,39,koc,two.sided,74,1.203010609e-07,1.773229017e+01, 2.875387281e+00, 1.585284093e+00
Hauser.1,39,lausanne,two.sided,109,7.607228287e-13,3.169072436e+01, 3.456024031e+00, 1.905405912e+00
Hauser.1,39,leuven,two.sided,106,2.330461398e-07,1.046152507e+01, 2.347704248e+00, 1.294357190e+00
Hauser.1,39,lundon,two.sided,110,2.109040034e-18,7.544301261e+01, 4.323377571e+00, 2.383602981e+00
Hauser.1,39,marian,two.sided,77,1.981306524e-05,8.637316687e+00, 2.156091966e+00, 1.188715802e+00
Hauser.1,39,marianipad,two.sided,27,4.424103738e-03,1.890184815e+01, 2.939259703e+00, 1.620498805e+00
Hauser.1,39,mariantab,two.sided,24,4.526181182e-03,1.918092242e+01, 2.953916161e+00, 1.628579334e+00
Hauser.1,39,mturk,two.sided,304,3.246566796e-14,6.357754201e+00, 1.849675202e+00, 1.019779386e+00
Hauser.1,39,mturk_india,two.sided,308,4.581969148e-10,4.406230716e+00, 1.483019611e+00, 8.176315641e-01
Hauser.1,39,navarra,two.sided,48,6.483899829e-03,6.689646157e+00, 1.900560981e+00, 1.047834187e+00
Hauser.1,39,ntnu,two.sided,74,2.072911029e-02,3.652530687e+00, 1.295420266e+00, 7.142026244e-01
Hauser.1,39,ntnutab,two.sided,45,8.916106559e-05,1.449345285e+01, 2.673697020e+00, 1.474086424e+00
Hauser.1,39,occid,two.sided,66,5.181416690e-09,3.427536805e+01, 3.534426963e+00, 1.948631714e+00
Hauser.1,39,occidtab,two.sided,77,7.474515346e-08,1.663283894e+01, 2.811378991e+00, 1.549994474e+00
Hauser.1,39,ouhktab,two.sided,36,4.913701753e-02,6.602814299e+00, 1.887495967e+00, 1.040631067e+00
Hauser.1,39,plu,two.sided,95,2.847739868e-08,1.349420316e+01, 2.602260198e+00, 1.434701240e+00
Hauser.1,39,poitiers,two.sided,44,5.744411446e-04,1.086948352e+01, 2.385959186e+00, 1.315448242e+00
Hauser.1,39,potsdam,two.sided,89,7.899143807e-08,1.501805315e+01, 2.709253021e+00, 1.493689475e+00
Hauser.1,39,pscio,two.sided,84,2.307468873e-03,4.899132487e+00, 1.589058146e+00, 8.760936724e-01
Hauser.1,39,psuabington,two.sided,88,7.013775534e-05,7.048028075e+00, 1.952747872e+00, 1.076606327e+00
Hauser.1,39,psuabingtontab,two.sided,78,2.238820883e-05,8.670273902e+00, 2.159900382e+00, 1.190815492e+00
Hauser.1,39,psumain,two.sided,81,6.340611316e-07,1.170415288e+01, 2.459943726e+00, 1.356238057e+00
Hauser.1,39,purkyne,two.sided,140,6.924595949e-07,6.036014799e+00, 1.797743993e+00, 9.911482098e-01
Hauser.1,39,sandiegosu,two.sided,171,2.393968481e-18,2.187357750e+01, 3.085279402e+00, 1.701003685e+00
Hauser.1,39,santiagoon,two.sided,59,2.027938360e-05,1.241089496e+01, 2.518574712e+00, 1.388563014e+00
Hauser.1,39,swps,two.sided,95,1.710607315e-05,8.902602492e+00, 2.186343649e+00, 1.205394429e+00
Hauser.1,39,tamu,two.sided,96,1.313957117e-08,1.357735816e+01, 2.608403564e+00, 1.438088256e+00
Hauser.1,39,tilburg,two.sided,95,1.732016159e-12,3.196344319e+01, 3.464592850e+00, 1.910130149e+00
Hauser.1,39,tilburgcaf,two.sided,78,3.230550039e-12,5.398084615e+01, 3.988629283e+00, 2.199046577e+00
Hauser.1,39,tilburgcomm,two.sided,98,2.173199891e-17,2.085347704e+02, 5.340105792e+00, 2.944154628e+00
Hauser.1,39,toronto,two.sided,325,5.810566098e-20,9.349528110e+00, 2.235325872e+00, 1.232399744e+00
Hauser.1,39,tufts,two.sided,79,4.524157036e-06,9.819394858e+00, 2.284359497e+00, 1.259433398e+00
Hauser.1,39,ubc,two.sided,76,3.543691510e-05,7.894372700e+00, 2.066150189e+00, 1.139128302e+00
Hauser.1,39,ubctab,two.sided,71,1.836539981e-06,1.399057357e+01, 2.638383786e+00, 1.454617218e+00
Hauser.1,39,ucron,two.sided,97,2.947248359e-07,1.205589371e+01, 2.489553645e+00, 1.372562861e+00
Hauser.1,39,udd,two.sided,94,3.553514744e-10,2.125810272e+01, 3.056738127e+00, 1.685268055e+00
Hauser.1,39,ufl,two.sided,113,3.965963750e-11,1.707172147e+01, 2.837423379e+00, 1.564353497e+00
Hauser.1,39,uiuc,two.sided,198,2.218148079e-16,1.402974487e+01, 2.641179709e+00, 1.456158692e+00
Hauser.1,39,umich,two.sided,84,1.381001778e-09,2.252470020e+01, 3.114612494e+00, 1.717175866e+00
Hauser.1,39,unam,two.sided,139,3.063882020e-14,2.024059565e+01, 3.007690273e+00, 1.658226556e+00
Hauser.1,39,unibelgrade,two.sided,80,2.374937952e-07,1.628238471e+01, 2.790083831e+00, 1.538253837e+00
Hauser.1,39,uniporto,two.sided,36,1.224482635e-04,2.102244290e+01, 3.045590576e+00, 1.679122088e+00
Hauser.1,39,uva,two.sided,85,9.568251183e-08,1.373654407e+01, 2.620059732e+00, 1.444514638e+00
Hauser.1,39,vuamsterdam,two.sided,92,1.877657550e-05,7.215607572e+00, 1.976246398e+00, 1.089561744e+00
Hauser.1,39,vuw,two.sided,92,2.998136883e-04,5.145318255e+00, 1.638087225e+00, 9.031248201e-01
Hauser.1,39,washlee,two.sided,96,1.877271753e-10,2.231817520e+01, 3.105401378e+00, 1.712097512e+00
Hauser.1,39,wilfredlaur,two.sided,87,1.319440600e-11,3.553353635e+01, 3.570476936e+00, 1.968507105e+00
Hauser.1,39,williampat,two.sided,118,9.601239201e-12,1.787707703e+01, 2.883519279e+00, 1.589767499e+00
Hauser.1,39,winchester,two.sided,138,9.068712817e-11,1.160300208e+01, 2.451263865e+00, 1.351452599e+00
Hauser.1,39,wpi,two.sided,85,4.030909738e-14,6.517134367e+01, 4.177019858e+00, 2.302911744e+00
Hauser.1,39,wroclaw,two.sided,96,2.806115604e-06,1.074856652e+01, 2.374772399e+00, 1.309280643e+00
Hauser.1,39,zhejiang,two.sided,81,4.297164479e-04,8.729578350e+00, 2.166717070e+00, 1.194573729e+00
Hauser.2,40,aus,two.sided,38,4.318745887e-02,4.907981978e+00, 1.590862855e+00, 8.770886606e-01
Hauser.2,40,badaniaon,two.sided,28,1.248171580e-01,4.152122563e+00, 1.423619664e+00, 7.848826571e-01
Hauser.2,40,bc,two.sided,52,3.404415850e-04,9.016955370e+00, 2.199106735e+00, 1.212431087e+00
Hauser.2,40,bilgi,two.sided,109,3.159802120e-09,1.293343842e+01, 2.559816083e+00, 1.411300574e+00
Hauser.2,40,brasilia,two.sided,49,1.802892961e-04,1.100207079e+01, 2.398083508e+00, 1.322132732e+00
Hauser.2,40,cas,two.sided,60,3.219648871e-04,            Inf,             Inf,             Inf
Hauser.2,40,castab,two.sided,47,1.008772860e-01,3.531860524e+00, 1.261824793e+00, 6.956804691e-01
Hauser.2,40,doshisha,two.sided,67,7.350341844e-06,2.015487546e+01, 3.003446218e+00, 1.655886686e+00
Hauser.2,40,eindhoven,two.sided,64,1.613658805e-03,5.890591762e+00, 1.773356462e+00, 9.777026592e-01
Hauser.2,40,eindhoventab,two.sided,6,6.666666667e-02,            Inf,             Inf,             Inf
Hauser.2,40,elte,two.sided,40,2.443840714e-04,2.968430224e+01, 3.390618362e+00, 1.869345876e+00
Hauser.2,40,eltetab,two.sided,38,2.011313437e-02,6.082250415e+00, 1.805374761e+00, 9.953552731e-01
Hauser.2,40,fmkbelgrade,two.sided,18,2.450980392e-01,6.606002068e+00, 1.887978640e+00, 1.040897178e+00
Hauser.2,40,grazvienna,two.sided,79,8.881363253e-04,6.328598525e+00, 1.845078810e+00, 1.017245262e+00
Hauser.2,40,hawaiion,two.sided,46,7.542925613e-01,1.334706120e+00, 2.887111326e-01, 1.591747898e-01
Hauser.2,40,henan,two.sided,10,3.333333333e-02,            Inf,             Inf,             Inf
